player_mid,player_name,position_id,team_name,fixture_year,total_carry_metres_post_contact,total_ballinplay_minutes,total_att_minutes,total_def_minutes,total_kick_errors,total_ruck_arrivals_attack_first2,total_ruck_arrivals_defence_first2,total_minutes_played,total_tries,total_linebreaks,total_supported_breaks,total_defenders_beaten,total_jackals_success,total_intercepts,total_tackles_made,total_tackles_missed,total_offloads,total_carries,total_carry_metres,total_carries_dominant,total_turnovers_conceded,total_penalties_conceded,total_rucks_won,total_rucks_lost
e9d0f336-2f5a-480c-a85b-fd1265ef1745,Ben O'Donnell,11,ACT Brumbies,2024,2,11,7,5,0,0,0,23,0,0,0,0,0,0,1,0,1,2,5,1,0,0,1,0
aa06329e-eb24-4142-a0d7-13ba4e2b47d6,Ben Sugars,2,NSW Waratahs,2024,5,25,17,8,0,9,3,42,0,0,0,0,0,0,3,0,0,7,8,2,1,0,6,0
9902e3ef-b820-415f-9121-3dd357fb08e4,Billy Harmon,7,Highlanders,2024,106,269,133,137,0,13,1,592,1,0,1,11,3,1,142,11,4,57,130,14,6,5,45,0
9902e3ef-b820-415f-9121-3dd357fb08e4,Billy Harmon,8,Highlanders,2024,109,132,68,63,0,0,0,307,0,0,0,9,1,1,66,5,2,35,121,23,4,1,31,1
1bcac994-cec7-4f2b-b519-8c817c6102b9,Billy Pollard,2,ACT Brumbies,2024,97,230,117,113,0,19,2,533,2,3,1,4,1,0,86,5,4,44,165,9,8,1,32,0
3e7f2081-6846-45a2-a33c-f6b82a178273,Billy Proctor,13,Hurricanes,2024,345,335,174,163,2,7,3,752,2,7,6,32,1,1,97,11,12,92,445,34,10,4,61,0
6f4d3652-d9e4-41a3-8774-15a96c8e3bc0,Blake Schoupp,1,ACT Brumbies,2024,25,77,38,40,0,1,0,169,0,0,0,0,0,0,19,4,1,17,32,5,1,5,15,1
d8ad2c36-3247-427a-9f3c-3dbe571434cf,Brad Shields,6,Hurricanes,2024,67,214,94,119,0,0,0,477,2,0,1,2,2,0,86,15,7,31,76,14,4,4,21,0
56af200a-4bea-4881-8f00-e722b2eb4b9c,Brad Wilkin,7,Melbourne Rebels,2024,80,130,66,65,0,23,9,306,0,2,0,5,1,0,63,9,1,22,90,10,1,3,19,2
be2b02d6-8202-4488-b6c9-0be59dab8522,Bradley Amituanai,3,NSW Waratahs,2024,17,55,29,25,0,12,2,129,0,0,0,1,0,0,22,5,0,11,34,6,1,3,10,0
925b93ed-14e9-4220-afe8-fe2437babc92,Bradley Slater,2,Chiefs,2024,85,173,90,82,0,7,3,400,2,0,2,4,0,0,73,10,1,37,83,10,2,1,29,0
1a2ce62a-c2d3-45a4-af30-cc49ba0fc0bf,Brayden Iose,6,Hurricanes,2024,32,24,13,11,0,0,0,55,0,0,0,3,0,0,7,1,0,8,22,6,0,0,6,0
1a2ce62a-c2d3-45a4-af30-cc49ba0fc0bf,Brayden Iose,8,Hurricanes,2024,346,310,156,153,0,11,4,671,3,3,2,35,1,0,122,8,13,123,506,35,5,5,94,2
a1366640-e7a6-46b7-ad3d-a2f8fb503431,Brett Cameron,10,Hurricanes,2024,33,400,203,197,6,3,0,870,1,2,2,3,0,1,23,11,2,50,177,5,16,0,14,1
f69f0344-d2d0-4923-80a3-df1676eee0c0,Brodie McAlister,2,Crusaders,2024,34,58,34,25,0,0,0,141,0,0,1,3,0,0,16,2,0,17,48,3,1,1,15,0
6b907e37-2c0b-4cb5-a294-b3949421866c,Bryce Heem,12,Blues,2024,243,210,124,87,0,0,0,457,2,5,2,19,0,0,47,6,8,59,282,16,6,1,40,1
8f5477bb-ac05-4397-8d00-f2494db93f47,Cabous Eloff,1,Melbourne Rebels,2024,34,30,16,15,0,0,0,76,0,0,0,2,1,0,11,1,1,13,28,7,1,2,10,1
10fa918d-e7ca-4194-9e23-e650c7643d6d,Cadeyrn Neville,4,ACT Brumbies,2024,12,45,21,24,0,1,2,106,0,0,0,0,0,0,18,3,1,11,13,5,2,1,8,1
10fa918d-e7ca-4194-9e23-e650c7643d6d,Cadeyrn Neville,5,ACT Brumbies,2024,57,157,74,82,0,0,0,358,0,0,0,0,0,0,59,8,4,37,56,9,2,4,31,0
10fa918d-e7ca-4194-9e23-e650c7643d6d,Cadeyrn Neville,6,ACT Brumbies,2024,0,11,4,7,0,3,5,24,0,0,0,0,0,0,6,0,0,2,4,0,0,1,2,0
a9a7bc58-2608-449b-ab6f-e04d1d56de6f,Caleb Clarke,11,Blues,2024,581,393,217,178,1,6,0,878,4,16,4,43,0,1,77,13,5,120,1028,55,6,5,98,2
8c5e7520-7803-453d-9eed-ebe79a816575,Caleb Delany,5,Hurricanes,2024,23,39,16,23,0,0,0,84,0,0,0,1,0,0,22,2,0,8,20,6,0,1,8,0
8c5e7520-7803-453d-9eed-ebe79a816575,Caleb Delany,4,Hurricanes,2024,84,185,89,95,0,0,0,417,1,2,2,2,0,0,80,7,3,49,98,20,5,4,41,3
ebb7e54e-d8ca-43de-91eb-dc036ef09bf3,Caleb Muntz,13,Fijian Drua,2024,13,10,7,3,0,0,0,16,0,0,0,0,0,0,1,0,0,4,6,1,0,0,4,0
ebb7e54e-d8ca-43de-91eb-dc036ef09bf3,Caleb Muntz,10,Fijian Drua,2024,2,13,8,6,0,3,1,35,0,0,0,0,0,0,2,0,0,3,1,1,1,0,1,0
f036a777-ca87-41e6-9952-fc9fc3b32e1d,Caleb Tangitau,11,Blues,2024,0,6,2,4,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
f036a777-ca87-41e6-9952-fc9fc3b32e1d,Caleb Tangitau,16,Blues,2024,,0,0,0,,,,0,,,,,,,,,,,,,,,,
f036a777-ca87-41e6-9952-fc9fc3b32e1d,Caleb Tangitau,13,Blues,2024,10,5,3,2,0,0,0,10,0,0,0,1,0,0,2,0,0,2,12,1,1,0,1,0
505688ce-c324-4960-a492-8967e664fe90,Cam Roigard,9,Hurricanes,2024,151,140,74,65,0,0,0,297,3,4,0,25,1,0,44,7,10,46,244,11,4,1,21,0
b4a9491b-21dd-4b78-897f-fb11faa6d078,Cameron Millar,10,Highlanders,2024,41,166,82,84,2,0,0,374,1,0,1,4,0,0,23,4,2,20,80,2,8,2,13,1
0ab185b2-e3f6-4d19-8569-ecb97a14afdd,Cameron Suafoa,6,Blues,2024,15,28,11,17,0,0,0,54,0,0,0,2,0,0,16,1,0,6,10,2,0,2,6,0
